date,enso,iod,pdo
1998-07-12,-0.283012,-0.16591,0.32845
1998-07-19,-0.310649,-0.357621,0.544899
1998-07-27,-0.282776,-0.457968,0.440145
1998-08-03,-0.416656,-1.056923,0.496215
1998-08-10,-0.421411,-1.03725,0.691979
1998-08-16,-0.517894,-0.812959,0.545646
1998-08-23,-0.584025,-0.778898,0.606771
1998-08-31,-0.543559,-0.664452,0.535367
1998-09-07,-0.556638,-0.850014,0.477253
1998-09-14,-0.657549,-0.670871,0.553405
1998-09-20,-0.731947,-0.774401,0.377075
1998-09-27,-0.811835,-1.297488,0.262538
1998-10-04,-0.831447,-1.598274,0.352978
1998-10-12,-0.917527,-1.670715,0.181038
1998-10-19,-0.944818,-1.505119,0.277503
1998-10-26,-1.003802,-1.521469,0.225153
1998-11-01,-1.032266,-1.496681,0.18166
1998-11-08,-1.082707,-1.93792,0.113429
1998-11-15,-1.1142,-2.209228,-0.038123
1998-11-23,-1.109572,-2.251411,-0.492612
1998-11-30,-1.099434,-2.129899,-0.608062
1998-12-06,-1.031182,-1.977351,-0.655381
1998-12-13,-1.048311,-1.862328,-0.39705
1998-12-20,-0.979749,-1.809441,0.030795
1998-12-28,-0.988958,-1.915602,-0.156222
1999-01-04,-0.970943,-2.132464,-0.101891
1999-01-11,-1.048649,-1.863697,-0.079194
1999-01-17,-1.156854,-1.734012,-0.366479
1999-01-24,-1.219747,-1.861916,-0.747355
1999-01-31,-1.177727,-2.274438,-0.99867
1999-02-08,-1.300279,-2.360124,-1.157835
1999-02-15,-1.282581,-2.135319,-1.002616
1999-02-22,-1.213705,-1.930646,-1.1067
1999-02-28,-1.025131,-1.86713,-0.867039
1999-03-07,-1.020368,-1.715757,-0.930267
1999-03-15,-1.080191,-1.692654,-1.317201
1999-03-22,-1.133118,-1.881135,-1.5513
1999-03-29,-1.172053,-2.290902,-1.312373
1999-04-04,-1.068424,-1.971421,-1.140147
1999-04-11,-1.149063,-2.215592,-1.306271
1999-04-18,-1.160683,-2.523397,-1.219972
1999-04-26,-1.09324,-2.534435,-1.182937
1999-05-03,-1.073844,-1.826068,-1.157954
1999-05-10,-1.015568,-1.598654,-1.158984
1999-05-16,-0.921537,-1.391813,-1.090705
1999-05-23,-0.917227,-1.356937,-1.047245
1999-05-30,-0.856502,-1.233111,-0.892406
1999-06-07,-0.897753,-0.861235,-1.165717
1999-06-14,-0.832574,-0.75251,-1.261409
1999-06-21,-0.760649,-0.403592,-1.168893
1999-06-27,-0.676435,0.065693,-1.058471
1999-07-04,-0.788863,-0.183147,-1.209394
1999-07-12,-0.796573,-0.165115,-1.374361
1999-07-19,-0.824054,-0.295884,-1.316868
1999-07-26,-0.780511,-0.489026,-1.266179
1999-08-01,-0.89152,-1.018069,-1.406786
1999-08-08,-0.858557,-0.82704,-1.273746
1999-08-15,-0.781743,-0.670685,-1.093755
1999-08-23,-0.758133,-0.508441,-1.269116
1999-08-30,-0.793344,-0.464501,-1.356453
1999-09-06,-0.891597,-0.648017,-1.389815
1999-09-12,-0.91217,-0.478061,-1.413789
1999-09-19,-0.858097,-0.524531,-1.381228
1999-09-26,-0.803522,-0.588997,-1.21439
1999-10-04,-0.862083,-0.494236,-1.096867
1999-10-11,-0.882562,-0.543023,-0.982836
1999-10-17,-0.985279,-0.809375,-1.125247
1999-10-24,-1.109208,-1.119921,-1.212651
1999-10-31,-1.108033,-0.935717,-1.359343
1999-11-08,-1.141852,-1.109659,-1.530071
1999-11-15,-1.125636,-1.134057,-1.431413
1999-11-22,-1.130354,-0.982772,-1.377447
1999-11-28,-1.176491,-0.684809,-1.764984
1999-12-05,-1.174878,-0.612274,-1.873804
1999-12-12,-1.225245,-0.890228,-1.491515
1999-12-20,-1.312096,-1.012341,-1.21409
1999-12-27,-1.327564,-1.042789,-1.174759
2000-01-02,-1.283025,-1.259419,-1.557349
2000-01-09,-1.329768,-1.195973,-1.850792
2000-01-16,-1.331679,-0.937081,-1.799564
2000-01-23,-1.346703,-0.740165,-1.720153
2000-01-30,-1.310134,-0.778371,-1.584541
2000-02-06,-1.146502,-1.21406,-1.444765
2000-02-13,-1.188071,-1.385067,-1.741738
2000-02-20,-1.341855,-1.651054,-1.988639
2000-02-27,-1.429711,-1.674809,-2.111425
2000-03-05,-1.294722,-1.942497,-1.87607
2000-03-12,-1.319508,-2.10247,-1.807251
2000-03-19,-1.325416,-2.176995,-1.816678
2000-03-26,-1.296792,-2.190716,-1.712086
2000-04-02,-1.125962,-1.567623,-1.478561
2000-04-09,-1.107338,-1.542794,-1.61052
2000-04-16,-1.226584,-1.865094,-1.78902
2000-04-23,-1.161262,-2.261764,-2.009182
2000-04-30,-1.207804,-1.88763,-1.871981
2000-05-07,-1.138659,-1.940884,-1.756559
2000-05-14,-1.055914,-1.807317,-1.807785
2000-05-21,-0.952752,-1.433607,-1.687986
2000-05-28,-0.885227,-1.257269,-1.667473
2000-06-04,-0.986759,-1.109829,-1.655997
2000-06-11,-0.934851,-1.007181,-1.655573
2000-06-18,-0.814472,-0.997564,-1.334057
2000-06-25,-0.771049,-1.102998,-1.293838
2000-07-02,-0.97762,-1.517347,-1.630981
2000-07-09,-0.895986,-1.688881,-1.587921
2000-07-16,-0.757519,-1.526699,-1.544193
2000-07-23,-0.591288,-1.169424,-1.467662
2000-07-30,-0.492071,-0.961731,-1.497479
2000-08-06,-0.641302,-1.551187,-1.426357
2000-08-13,-0.585788,-1.561738,-1.514411
2000-08-20,-0.619087,-1.741615,-1.778577
2000-08-27,-0.641309,-1.801489,-1.577144
2000-09-03,-0.49657,-1.838164,-1.306415
2000-09-10,-0.431467,-1.532302,-1.191895
2000-09-17,-0.476201,-1.089476,-1.355499
2000-09-24,-0.539192,-0.877535,-1.279037
2000-10-01,-0.576199,-0.707508,-1.154377
2000-10-08,-0.643037,-0.693145,-1.355061
2000-10-15,-0.664316,-0.839774,-1.464924
2000-10-22,-0.641974,-1.217141,-1.719282
2000-10-29,-0.62498,-1.267728,-1.700069
2000-11-05,-0.633099,-0.992558,-1.597636
2000-11-12,-0.691618,-0.956023,-1.586715
2000-11-19,-0.737565,-1.032654,-1.941442
2000-11-26,-0.823775,-1.22456,-1.773069
2000-12-03,-0.85218,-1.30102,-1.368061
2000-12-10,-0.85143,-1.249762,-1.578807
2000-12-17,-0.800565,-1.193961,-1.666454
2000-12-24,-0.771551,-1.131495,-1.633897
2001-01-01,-0.783379,-1.55877,-1.174754
2001-01-08,-0.797109,-1.495708,-1.1501
2001-01-15,-0.839187,-1.281995,-1.422229
2001-01-21,-0.869398,-1.065222,-1.611391
2001-01-28,-1.055081,-1.147641,-1.636626
2001-02-04,-1.090518,-1.558569,-1.636346
2001-02-12,-1.093352,-1.629081,-1.610629
2001-02-19,-1.084864,-1.734874,-1.638713
2001-02-26,-1.100123,-1.659867,-1.562023
2001-03-04,-0.795718,-1.515254,-1.42578
2001-03-11,-0.815132,-1.521562,-1.47561
2001-03-18,-0.802728,-1.328872,-1.466879
2001-03-26,-0.806135,-1.054653,-1.342348
